id,brand,name,group
1,하기스,하기스 2023 네이처메이드 기저귀 1단계 밴드형,하기스_네이처메이드_1단계_밴드형
2,하기스,하기스 2023 네이처메이드 기저귀 2단계 밴드형,하기스_네이처메이드_2단계_밴드형
3,하기스,하기스 2023 네이처메이드 기저귀 3단계 밴드형,하기스_네이처메이드_3단계_밴드형
4,하기스,하기스 크린베베 순면감촉 기저귀 대형 일자형,하기스_크린베베_대형_일자형
5,마미포코,마미포코 에어핏 공기솔솔 기저귀 점보형 팬티형 (남녀선택),마미포코_에어핏_점보형_팬티형
6,하기스,하기스 2022 보송보송 기저귀 5단계 팬티형,하기스_보송보송_5단계_팬티형
7,마미포코,마미포코 에어핏 공기솔솔 기저귀 특대형 팬티형 (남녀선택),마미포코_에어핏_특대형_팬티형
8,하기스,하기스 2023 맥스드라이 기저귀 5단계 팬티형,하기스_맥스드라이_5단계_팬티형
9,마미포코,마미포코 에어핏 공기솔솔 기저귀 대형 팬티형 (남녀선택),마미포코_에어핏_대형_팬티형
10,하기스,하기스 2023 매직컴포트 기저귀 5단계 팬티형,하기스_매직_5단계_팬티형
11,하기스,하기스 크린베베 순면감촉 기저귀 소형 일자형,하기스_크린베베_소형_일자형
12,하기스,하기스 2022 보송보송 기저귀 6단계 팬티형,하기스_보송보송_6단계_팬티형
13,하기스,하기스 2023 네이처메이드 기저귀 4단계 밴드형,하기스_네이처메이드_4단계_밴드형
14,하기스,하기스 2023 맥스드라이 기저귀 2단계 밴드형,하기스_맥스드라이_2단계_밴드형
15,하기스,하기스 2023 네이처메이드 기저귀 5단계 팬티형,하기스_네이처메이드5단계_팬티형
16,하기스,하기스 2023 맥스드라이 기저귀 3단계 밴드형,하기스_맥스드라이_3단계_밴드형
17,하기스,하기스 2023 네이처메이드 밤부 기저귀 2단계 밴드형,하기스_네이처메이드 밤부_2단계_밴드형
18,하기스,하기스 2023 매직컴포트 기저귀 6단계 팬티형,하기스_매직_6단계_팬티형
19,하기스,하기스 2020 네이처메이드 이른둥이 중형 밴드형,하기스_네이처메이드 이른둥이_3단계_밴드형
20,하기스,하기스 크린베베 순면감촉 기저귀 중형 일자형,하기스_크린베베_중형_일자형
21,하기스,하기스 2023 맥스드라이 기저귀 6단계 팬티형 (남녀선택),하기스_맥스드라이_6단계_팬티형
22,마미포코,마미포코 플렉스 팬티 기저귀 특대형 (남녀선택),마미포코_플렉스_특대형_팬티형
