id,brand,name,group_brand,group
1,휘슬,휘슬 리얼블랙 프리미엄 강아지 배변패드 소형 표준형 50매 2개 660991,휘슬 리얼블랙 프리미엄 강아지 배변패드 소형 표준형 50매 2개 660991,휘슬_휘슬 리얼블랙 프리미엄 강아지 배변패드 소형 표준형 50매 2개 660991
2,홈플러스시그니처,홈플러스시그니처 깔끔해서 좋은 배변패드 중형 100매,홈플러스시그니처 깔끔해서 좋은 배변패드 중형 100매,홈플러스시그니처_홈플러스시그니처 깔끔해서 좋은 배변패드 중형 100매
3,호랑이,[1개/4개] 호랑이패드 울트라형 (50매),울트라형,호랑이_울트라형
4,호랑이,호랑이 블랙패드 중형 50매 (42x52cm),블랙패드,호랑이_블랙패드
5,호랑이,호랑이패드 강아지 흡수력 좋은 대형 배변 패드 60매(60X76),대형패드,호랑이_대형패드
6,호랑이,호랑이패드 강아지 흡수력 좋은 중형 배변 패드 200매(42X52),블랙패드,호랑이_블랙패드
7,호랑이,호랑이패드 강아지 흡수력 좋은 울트라형 대형 배변 패드 50매(76X90),울트라형,호랑이_울트라형
8,헬로키티,헬로키티 애견패드 골라담기,헬로키티 애견패드 골라담기,헬로키티_헬로키티 애견패드 골라담기
9,헬로도기,헬로도기 헬로패드100매(라벤더향),헬로도기 헬로패드100매(라벤더향),헬로도기_헬로도기 헬로패드100매(라벤더향)
10,향그린,마이도기 향그린 패드 35g 50매,항그랜패드,향그린_항그랜패드
11,향그린,마이도기 향그린 패드 35g 50매 x 4개 1박스,항그랜패드,향그린_항그랜패드
12,한장뚝딱,한장뚝딱 라이트 강아지 애견 패드 120매 72g,강아지패드72g,한장뚝딱_강아지패드72g
13,한장뚝딱,한장뚝딱 라이트 20g x 400매 강아지 배변패드,강아지패드20g,한장뚝딱_강아지패드20g
14,한장뚝딱,한장뚝딱 라이트 20g x 400매 강아지 배변패드,강아지패드20g,한장뚝딱_강아지패드20g
15,한장뚝딱,한장뚝딱 라이트 강아지패드 20g 100매 x 4개,강아지패드20g,한장뚝딱_강아지패드20g
16,한장뚝딱,한장뚝딱 라이트 20g x 400매 강아지 배변pad,강아지패드20g,한장뚝딱_강아지패드20g
17,한장뚝딱,한장뚝딱 라이트 강아지 배변 패드 대형 120매 72g,강아지패드72g,한장뚝딱_강아지패드72g
18,한장뚝딱,한장뚝딱 라이트 강아지 배변 패드 대형 120매 72g,강아지패드72g,한장뚝딱_강아지패드72g
19,한장뚝딱,한장뚝딱 라이트 강아지패드 72g 120매 30매X4개,강아지패드72g,한장뚝딱_강아지패드72g
20,한장뚝딱,한장뚝딱 라이트 강아지패드 20g 400매 100매X4개,강아지패드20g,한장뚝딱_강아지패드20g
21,핏펫,[핏펫] 닥터설 논슬립 강아지 배변패드 대형 20매 3팩 세트 애견 관절 보호,닥터설패드,핏펫_닥터설패드
22,핏펫,핏펫 [1+1] 가성비짱 흡수력 좋은 국내생산 무무 배변패드 대형 20매+20매,닥터설패드,핏펫_닥터설패드
23,피피픽,피피픽 제로그레이패드 흡수력 좋은 강아지 무향 숯 배변패드,피피픽 제로그레이패드 흡수력 좋은 강아지 무향 숯 배변패드,피피픽_피피픽 제로그레이패드 흡수력 좋은 강아지 무향 숯 배변패드
24,프리미요,강아지 간식 중소형견 배변패드 100매 자견 3개월이상 애견,중소형견패드,프리미요_중소형견패드
25,프리미요,"프리미요댕댕이 배변패드 100매 45x55 , 강아지배변패드",중소형견패드,프리미요_중소형견패드
26,프로도기,프로도기 노스멜패드 중형 실속팩 60매,노스멜패드_중형_60매,프로도기_노스멜패드_중형_60매
27,프로도기,프로도기 노스멜패드 대형 실속팩 60매,노스멜패드_대형_60매,프로도기_노스멜패드_대형_60매
28,프로도기,프로도기 트레이닝패드 대형 실속팩 60매,트레이닝패드,프로도기_트레이닝패드
29,프로도기,프로도기 트레이닝패드 대형 실속팩 60매,트레이닝패드,프로도기_트레이닝패드
30,프로도기,프로도기 노스멜 패드 소형 그린티향 50매,노스멜패드,프로도기_노스멜패드
